alias,canonical
Nott'm Forest,Nottingham Forest
Sheffield Weds,Sheffield Wednesday
Middlesboro,Middlesbrough
Man United,Manchester United
Man Utd,Manchester United
Man City,Manchester City
Spurs,Tottenham Hotspur
Tottenham,Tottenham Hotspur
Newcastle,Newcastle United
West Brom,West Bromwich Albion
West Ham,West Ham United
Wolves,Wolverhampton Wanderers
Leicester,Leicester City
Birmingham,Birmingham City
Bolton,Bolton Wanderers
Charlton,Charlton Athletic
Coventry,Coventry City
Derby,Derby County
Hull,Hull City
Leeds,Leeds United
Norwich,Norwich City
Stoke,Stoke City
Swansea,Swansea City
Wigan,Wigan Athletic
Cardiff,Cardiff City
Huddersfield,Huddersfield Town
Bournemouth,AFC Bournemouth
Brighton,Brighton & Hove Albion
QPR,Queens Park Rangers
Blackburn,Blackburn Rovers
Portsmouth,Portsmouth
Sunderland,Sunderland
Watford,Watford
Ipswich,Ipswich Town
