,title_probability,champions_league_probability,european_qualification_probability,relegation_probability,expected_position,expected_points,median_points,points_p05,points_p95
Manchester City,0.652,0.9898,0.99832,0.0,1.5112,82.79544,83.0,71.0,94.0
Arsenal,0.21668,0.92764,0.98278,0.0,2.48758,76.23228,76.0,64.0,88.0
Liverpool,0.1099,0.8469,0.95284,0.0,3.16132,72.72222,73.0,60.0,85.0
Chelsea,0.01268,0.42238,0.69934,0.0009,5.68396,64.00804,64.0,51.0,77.0
Manchester United,0.00212,0.1495,0.37922,0.00834,8.23636,57.80346,58.0,45.0,70.0
Brentford,0.00154,0.143,0.3734,0.00782,8.28162,57.70026,58.0,45.0,70.0
Newcastle United,0.00188,0.13384,0.34838,0.01046,8.51984,57.22706,57.0,45.0,70.0
Brighton & Hove Albion,0.00146,0.11454,0.3129,0.01142,8.83592,56.4796,56.0,44.0,69.0
Tottenham Hotspur,0.00092,0.10128,0.28452,0.01592,9.17024,55.90602,56.0,43.0,69.0
Aston Villa,0.00048,0.0665,0.20592,0.02578,10.08468,54.1187,54.0,42.0,67.0
AFC Bournemouth,8e-05,0.02486,0.0996,0.06874,11.94416,50.28244,50.0,38.0,63.0
Everton,0.0001,0.02274,0.09206,0.06688,12.03986,50.15856,50.0,38.0,63.0
Nottingham Forest,6e-05,0.01634,0.06796,0.09314,12.70574,48.75776,49.0,37.0,61.0
Fulham,4e-05,0.0129,0.06136,0.10514,12.89444,48.39124,48.0,36.0,61.0
Leeds United,0.0,0.01054,0.051,0.12024,13.2325,47.84968,48.0,36.0,60.0
Crystal Palace,4e-05,0.00982,0.04726,0.1317,13.43694,47.32776,47.0,35.0,60.0
Hull City,0.0,0.00364,0.02058,0.21808,14.62006,44.8119,45.0,33.0,57.0
Sunderland,2e-05,0.00376,0.02248,0.22254,14.6294,44.63698,45.0,33.0,57.0
Ipswich Town,0.0,2e-05,8e-05,0.8929,18.52434,31.55746,31.0,21.0,43.0
Coventry City,0.0,0.0,0.0,1.0,19.99984,6.92624,7.0,3.0,12.0
