model,season,n_train_seasons,n_matches,log_loss,brier_score,rps,accuracy
Baseline (frequency),2003-04,10,380,1.0750740852615817,0.6503315033667231,0.2233983744855647,0.4394736842105263
Baseline (frequency),2004-05,11,380,1.0662962634733224,0.6441377051429178,0.21912610213640132,0.45526315789473687
Baseline (frequency),2005-06,12,380,1.0423286573001527,0.6266955130852639,0.2298519874221801,0.5052631578947369
Baseline (frequency),2006-07,13,380,1.0541036363369125,0.6353607163702464,0.22190497663449288,0.4789473684210526
Baseline (frequency),2007-08,14,380,1.0625852716865491,0.6414093932942795,0.22372922157111802,0.4631578947368421
Baseline (frequency),2008-09,15,380,1.0668991790303877,0.6444824319529693,0.22708877620845233,0.45526315789473687
Baseline (frequency),2009-10,16,380,1.038393084270782,0.6241478102399861,0.21754233145042476,0.5078947368421053
Baseline (frequency),2010-11,17,380,1.0582099754989382,0.6382890684399991,0.21545593397188995,0.4710526315789474
Baseline (frequency),2011-12,18,380,1.070146124684441,0.6467589077416273,0.23066500656375313,0.45
Baseline (frequency),2012-13,19,380,1.0770030902758427,0.6517132261485096,0.22400353991925195,0.4368421052631579
Baseline (frequency),2013-14,20,380,1.058217974453494,0.6383042458398734,0.2355845947303977,0.4710526315789474
Baseline (frequency),2014-15,21,380,1.0677042079152415,0.6451738710830937,0.22994905860255754,0.45263157894736844
Baseline (frequency),2015-16,22,380,1.089436262683544,0.6606322804605301,0.22902696868882097,0.4131578947368421
Baseline (frequency),2016-17,23,380,1.046073660257156,0.6298131454120561,0.22782965088676108,0.4921052631578947
Baseline (frequency),2017-18,24,380,1.066439671264577,0.644231959916204,0.22578516537967788,0.45526315789473687
Baseline (frequency),2018-19,25,380,1.0523682335093225,0.6346681526927633,0.23843347289329267,0.4763157894736842
Baseline (frequency),2019-20,26,380,1.066542863324297,0.6445384125480159,0.23035388401160864,0.45263157894736844
Baseline (frequency),2020-21,27,380,1.102085374317754,0.6706238880211898,0.24909583037957803,0.37894736842105264
Baseline (frequency),2021-22,28,309,1.0805077245720582,0.6549493279671189,0.2377936590320998,0.42071197411003236
Elo,2003-04,10,380,1.02099890895436,0.6137316052622881,0.20581285543591712,0.46842105263157896
Elo,2004-05,11,380,0.9990029070623869,0.6002294139495514,0.19681398379056061,0.5131578947368421
Elo,2005-06,12,380,0.9604916864219334,0.5704951681135905,0.20201474502280767,0.5526315789473685
Elo,2006-07,13,380,0.995663600313686,0.5945515342233386,0.20188705916680866,0.5184210526315789
Elo,2007-08,14,380,0.9479876248375777,0.5642147833743439,0.18575337577636067,0.5578947368421052
Elo,2008-09,15,380,0.963548212328026,0.5748447871981861,0.19241586057798807,0.55
Elo,2009-10,16,380,0.9412781619474883,0.5581072715547961,0.1864193440883073,0.5447368421052632
Elo,2010-11,17,380,1.0176109852473485,0.61088881103778,0.20274287669732086,0.4789473684210526
Elo,2011-12,18,380,1.0002863681013554,0.5972729511702547,0.20670344287121345,0.5078947368421053
Elo,2012-13,19,380,0.9872174868788193,0.5884699924592952,0.19440011067269422,0.5210526315789473
Elo,2013-14,20,380,0.9527503223624645,0.5603879378343096,0.19795806339683844,0.5921052631578947
Elo,2014-15,21,380,0.9968447925683724,0.5927019317058497,0.20495525177424015,0.5289473684210526
Elo,2015-16,22,380,1.0328846053165202,0.6196433624888982,0.20976551245625352,0.4868421052631579
Elo,2016-17,23,380,0.9449976186035536,0.5583267887246619,0.19268034198095202,0.5894736842105263
Elo,2017-18,24,380,0.9653151414642477,0.5737751681135452,0.19188519397516743,0.5368421052631579
Elo,2018-19,25,380,0.9236437570271256,0.5422277301312137,0.19389373089235237,0.5842105263157895
Elo,2019-20,26,380,0.9829080226345674,0.584708848962458,0.2018876053473934,0.5263157894736842
Elo,2020-21,27,380,1.0486607229326264,0.6238945431514163,0.22649186890846043,0.48947368421052634
Elo,2021-22,28,309,0.9870896537592101,0.5871146115218243,0.20438159950819615,0.5372168284789643
Poisson (independent),2003-04,10,380,1.0419640263367733,0.6263272222008804,0.2111582077372428,0.46578947368421053
Poisson (independent),2004-05,11,380,1.0060948779230268,0.6062351938577151,0.19822041436876733,0.5131578947368421
Poisson (independent),2005-06,12,380,0.962490564085581,0.5703216628314525,0.2037212708652623,0.5710526315789474
Poisson (independent),2006-07,13,380,1.0088460395853274,0.6051489829909241,0.2068694101343021,0.5026315789473684
Poisson (independent),2007-08,14,380,0.9549878110030668,0.56803379449739,0.18813119247710927,0.5447368421052632
Poisson (independent),2008-09,15,380,0.981852421354512,0.5867141203626575,0.19690014670372927,0.5447368421052632
Poisson (independent),2009-10,16,380,0.944312118630757,0.5598992574163247,0.1875535410463133,0.5394736842105263
Poisson (independent),2010-11,17,380,1.0301306010367113,0.6175892171681306,0.2049021844774091,0.4868421052631579
Poisson (independent),2011-12,18,380,1.0347967811572814,0.6197319482550091,0.21778676714570133,0.4868421052631579
Poisson (independent),2012-13,19,380,0.9725850321219699,0.5775788200537751,0.1890379187792378,0.5289473684210526
Poisson (independent),2013-14,20,380,0.9482734027809165,0.5588576761146051,0.19852882680540135,0.5789473684210527
Poisson (independent),2014-15,21,380,0.9787357407008953,0.5810146716445802,0.1990079188176889,0.5394736842105263
Poisson (independent),2015-16,22,380,1.0794350413841887,0.6503946554060572,0.22368416309070946,0.45
Poisson (independent),2016-17,23,380,0.9414536121262093,0.5569287180076239,0.19169789800177492,0.5815789473684211
Poisson (independent),2017-18,24,380,0.9923689015319864,0.5911916233748108,0.20020194858274915,0.5289473684210526
Poisson (independent),2018-19,25,380,0.918866489996316,0.5386516262314169,0.1939252150011045,0.5815789473684211
Poisson (independent),2019-20,26,380,0.9841726779084141,0.5864370273097853,0.2030941482681768,0.5157894736842106
Poisson (independent),2020-21,27,380,1.0356215110896043,0.6187554318465791,0.22364020342360116,0.49736842105263157
Poisson (independent),2021-22,28,309,0.9729761662691842,0.5770227150966638,0.20068475292456114,0.5307443365695793
Poisson (Dixon-Coles),2003-04,10,380,1.041123878384581,0.6257263816697728,0.21105806764872492,0.46578947368421053
Poisson (Dixon-Coles),2004-05,11,380,1.003360945045704,0.6052021382807945,0.19804823843928063,0.5131578947368421
Poisson (Dixon-Coles),2005-06,12,380,0.9651990952002986,0.5719543245773979,0.20399338115625318,0.5710526315789474
Poisson (Dixon-Coles),2006-07,13,380,1.0084179882906,0.6048666444279223,0.20682235370713517,0.5026315789473684
Poisson (Dixon-Coles),2007-08,14,380,0.9542115082237931,0.5677883798440552,0.1880902900348868,0.5447368421052632
Poisson (Dixon-Coles),2008-09,15,380,0.9811246810751663,0.5865154387511883,0.19686703310181772,0.5447368421052632
Poisson (Dixon-Coles),2009-10,16,380,0.9433090124250378,0.5593610810166008,0.18746384497969262,0.5394736842105263
Poisson (Dixon-Coles),2010-11,17,380,1.0276239490545576,0.6156419420457792,0.20457763862368386,0.4868421052631579
Poisson (Dixon-Coles),2011-12,18,380,1.035894595981862,0.6194573613853035,0.21774100266741706,0.4868421052631579
Poisson (Dixon-Coles),2012-13,19,380,0.9681775123775113,0.5750910905407639,0.1886232971937359,0.5289473684210526
Poisson (Dixon-Coles),2013-14,20,380,0.9523300771323453,0.5609797218781118,0.19888250109931915,0.5789473684210527
Poisson (Dixon-Coles),2014-15,21,380,0.9784644782988883,0.5808579839057366,0.1989818041945483,0.5394736842105263
Poisson (Dixon-Coles),2015-16,22,380,1.079004358124722,0.6498715800438429,0.22359698386367372,0.45
Poisson (Dixon-Coles),2016-17,23,380,0.9419573301523421,0.5575568632247322,0.19180258887129298,0.5815789473684211
Poisson (Dixon-Coles),2017-18,24,380,0.9911936897017525,0.5903482915500297,0.20006139327861897,0.5289473684210526
Poisson (Dixon-Coles),2018-19,25,380,0.9217651506480598,0.5402292959799402,0.19418815995919167,0.5789473684210527
